,City,Country,Lat,Lon,Date,Cloudiness,Humidity,Max Temp,Wind Speed
60,Dikson,RU,73.51,80.55,1559612030,1,90,32.09,14.83
61,Tezu,IN,27.93,96.16,1559612030,37,41,89.33,2.82
62,Hamilton,CA,43.26,-79.87,1559611900,40,58,55.99,4.7
63,Qaanaaq,GL,77.48,-69.36,1559612031,100,92,22.01,1.79
64,Geraldton,CA,49.72,-86.95,1559612031,40,37,55.4,3.36
65,Ponta do Sol,BR,-20.63,-46.0,1559612031,0,95,59.09,1.43
66,Mitsamiouli,KM,-11.38,43.28,1559612031,4,72,79.79,15.01
67,Cadillac,US,44.25,-85.4,1559611854,75,46,57.2,4.43
68,Bluff,AU,-23.58,149.07,1559611636,0,30,58.4,16.53
69,Vaini,IN,15.34,74.49,1559612031,40,88,73.4,9.17
70,Jamestown,AU,-33.21,138.6,1559611624,11,70,49.4,8.81
71,Batagay-Alyta,RU,67.8,130.41,1559612032,86,61,45.59,11.39
72,Talnakh,RU,69.49,88.39,1559612032,0,80,33.8,4.47
73,Tuktoyaktuk,CA,69.44,-133.03,1559612032,75,70,42.8,12.75
74,Butaritari,KI,3.07,172.79,1559612032,43,78,84.65,13.4
75,Woodward,US,36.43,-99.39,1559612032,1,45,84.2,15.9
76,Avarua,CK,-21.21,-159.78,1559611388,83,88,75.2,6.93
77,Sao Filipe,CV,14.9,-24.5,1559612033,2,86,73.31,13.89
78,Mandalgovi,MN,45.76,106.27,1559612033,0,31,54.59,15.59
79,Cabo San Lucas,MX,22.89,-109.91,1559612029,5,64,81.0,14.99
80,Leningradskiy,RU,69.38,178.42,1559612033,86,89,39.11,6.15
81,Homa Bay,KE,-0.53,34.45,1559612033,40,82,68.0,3.36
82,Murliganj,IN,25.9,86.99,1559612033,56,46,90.05,14.34
83,Beringovskiy,RU,63.05,179.32,1559612033,85,45,59.45,13.33
84,Manta,RO,45.1,24.1,1559611585,82,84,58.04,5.88
85,Port Elizabeth,US,39.31,-74.98,1559612034,1,67,66.0,4.59
86,Matara,PE,-13.74,-72.9,1559612034,2,90,32.09,2.04
87,Lokosovo,RU,61.13,74.84,1559612034,0,43,59.99,5.08
88,Riyadh,SA,24.63,46.72,1559611925,0,13,82.4,8.05
89,Belaya,RU,51.06,35.71,1559612034,68,93,60.71,9.98
90,Bolgar,RU,54.97,49.03,1559612034,0,71,53.6,11.18
91,Provideniya,RU,64.42,-173.23,1559611651,20,70,44.6,11.18
92,Ribeira Grande,PT,38.52,-28.7,1559611678,51,81,62.9,20.15
93,Benghazi,LY,32.12,20.07,1559611552,0,70,67.94,11.54
94,Kapaa,US,22.08,-159.32,1559612035,20,61,84.2,13.87
95,Solnechnyy,RU,50.72,136.64,1559612035,16,37,71.69,4.47
96,Ilulissat,GL,69.22,-51.1,1559612035,67,80,39.2,4.7
97,Bethel,US,60.79,-161.76,1559612036,75,51,62.6,12.75
98,Constitucion,MX,23.99,-104.67,1559612036,75,52,72.0,6.93
99,Saint-Pierre,FR,48.95,4.24,1559611541,0,93,57.2,8.05
100,Bomet,KE,-0.78,35.34,1559612036,72,96,57.47,3.33
101,Birjand,IR,32.86,59.22,1559612036,0,44,59.0,10.11
102,Lasa,CY,34.92,32.53,1559612036,87,72,75.2,4.7
103,Nieves,MX,24.0,-103.02,1559611976,100,45,71.33,1.12
104,Norman Wells,CA,65.28,-126.83,1559612037,90,81,44.6,9.17
105,Cap Malheureux,MU,-19.98,57.61,1559612037,40,64,73.4,18.34
106,Fort Morgan,US,40.25,-103.8,1559611984,40,42,66.2,20.8
107,Wanning,AT,48.64,13.53,1559611514,75,82,62.01,4.7
108,Atuona,PF,-9.8,-139.03,1559612037,0,75,82.67,16.04
109,Grand Gaube,MU,-20.01,57.66,1559611644,40,64,73.4,18.34
110,Formosa,AR,-26.19,-58.17,1559612037,0,87,60.8,5.82
111,Machachi,EC,-0.51,-78.57,1559612038,20,93,59.0,12.75
112,Champerico,MX,16.38,-93.6,1559612038,90,83,77.0,8.05
113,Margate,AU,-43.03,147.26,1559612038,75,53,53.01,10.29
114,Burnie,AU,-41.05,145.91,1559612038,0,53,59.0,1.01
115,Maragogi,BR,-9.01,-35.22,1559612038,100,93,73.49,3.91
116,Port Hueneme,US,34.15,-119.2,1559611968,90,82,70.0,6.93
117,Mehamn,NO,71.03,27.85,1559612038,0,64,41.81,8.01
118,Itoman,JP,26.12,127.67,1559612039,75,83,86.0,11.41
119,Barrow,AR,-38.31,-60.23,1559612039,54,59,49.73,9.51
120,Aromashevo,RU,56.86,68.64,1559612039,100,72,59.09,9.15
121,Tay Ninh,VN,11.3,106.1,1559612039,69,59,90.59,1.59
122,Victoria,BN,5.28,115.24,1559612039,75,88,82.4,4.7
123,Gamba,CN,28.28,88.52,1559612040,0,31,44.51,6.51
124,Sao Joao da Barra,BR,-21.64,-41.05,1559611774,59,91,69.74,5.73
125,Upernavik,GL,72.79,-56.15,1559611647,100,72,36.98,2.51
126,Santa Cruz,US,36.97,-122.03,1559612041,1,77,80.6,8.05
127,Bristol,GB,51.45,-2.6,1559612041,28,100,55.0,5.82
128,Avera,US,33.19,-82.53,1559612041,1,54,82.4,3.36
129,Harboore,DK,56.62,8.18,1559612041,29,93,52.0,4.7
130,Guerrero Negro,MX,27.97,-114.04,1559612041,0,81,65.21,13.0
131,Farah,AF,32.37,62.11,1559612042,0,21,81.95,21.85
132,Dunedin,NZ,-45.87,170.5,1559611868,5,58,45.0,20.0
133,Cholet,FR,47.06,-0.88,1559612042,95,93,59.0,3.36
134,Batemans Bay,AU,-35.71,150.18,1559612042,39,68,53.01,1.99
135,North Bend,US,43.41,-124.22,1559611877,1,77,61.0,23.04
136,Samana,EC,0.12,-76.97,1559612042,56,78,70.25,0.98
137,Saint-Augustin,FR,44.83,-0.61,1559612043,0,88,64.99,2.24
138,Port-Cartier,CA,50.03,-66.88,1559611491,90,93,45.0,8.05
139,Soledade,BR,-7.06,-36.37,1559612043,40,83,73.4,9.17
140,Faya,SA,18.39,42.45,1559612043,0,34,66.2,3.36
141,Los Alamos,US,35.88,-106.3,1559612043,100,22,75.99,10.29
142,Vila Franca de Xira,PT,38.95,-8.99,1559612043,75,88,66.0,3.36
143,Landsberg,DE,51.53,12.16,1559612044,0,93,64.0,5.82
144,Mayo,CA,63.59,-135.9,1559612044,75,31,60.8,9.17
145,Grindavik,IS,63.84,-22.43,1559612044,20,77,41.0,17.22
146,Uyuni,BO,-20.46,-66.82,1559612044,0,14,38.21,4.56
147,San Patricio,PY,-26.98,-56.83,1559612044,0,98,54.41,4.7
148,Zeya,RU,53.74,127.27,1559612045,2,24,74.57,6.08
149,Antalaha,MG,-14.9,50.28,1559612045,71,99,63.59,2.46
150,Rio Gallegos,AR,-51.62,-69.22,1559611753,0,86,41.0,6.93
151,Omboue,GA,-1.57,9.26,1559611535,100,84,76.4,10.2
152,Paraiso,MX,24.01,-104.61,1559612045,75,52,72.0,6.93
153,Seddon,NZ,-41.67,174.07,1559612046,95,61,59.0,1.01
154,Tual,ID,-5.67,132.75,1559612046,69,82,81.05,22.1
155,Ganzhou,CN,25.86,114.93,1559612046,0,61,86.81,4.68
156,Phan Thiet,VN,10.93,108.1,1559611938,100,49,91.85,4.9
157,Port Augusta,AU,-32.49,137.76,1559612046,90,76,53.6,14.99
158,Clyde River,CA,70.47,-68.59,1559611697,90,86,37.4,3.36
159,Macau,BR,-5.11,-36.64,1559612046,78,82,75.29,11.74
160,Bhuban,IN,20.88,85.83,1559612047,96,60,91.13,4.47
161,Rzhyshchiv,UA,49.97,31.05,1559612047,0,88,66.0,6.71
162,Astoria,US,46.19,-123.83,1559611805,1,58,64.99,16.11
163,East London,ZA,-33.02,27.91,1559611629,46,33,61.28,5.44
164,Ust-Barguzin,RU,53.41,109.03,1559612047,97,80,43.07,7.96
165,Caravelas,BR,-17.73,-39.27,1559611667,1,77,75.68,5.44
166,Nyanguge,TZ,-2.54,33.2,1559612047,40,78,71.6,6.2
167,Nantucket,US,41.28,-70.1,1559611805,1,39,62.6,9.17
168,Thompson,CA,55.74,-97.86,1559611660,90,41,59.0,4.7
169,Pevek,RU,69.7,170.27,1559612048,100,94,32.81,5.57
170,Vostok,RU,46.45,135.83,1559612048,0,37,70.61,4.85
171,Jackville,CI,5.21,-4.42,1559612048,20,83,80.6,8.05
172,Chokurdakh,RU,70.62,147.9,1559611675,0,50,38.96,11.45
173,Pirapemas,BR,-3.73,-44.23,1559612048,75,98,73.31,3.02
174,La Ronge,CA,55.1,-105.3,1559611464,75,87,51.8,11.41
175,Mahebourg,MU,-20.41,57.7,1559611677,40,64,73.4,18.34
176,Komsomolskiy,RU,67.55,63.78,1559611674,100,98,34.64,5.86
177,Luderitz,NA,-26.65,15.16,1559611460,0,93,48.2,2.24
178,Buta,CD,2.79,24.73,1559612049,100,97,69.17,1.01
179,Nikolskoye,RU,59.7,30.79,1559612049,0,62,57.99,4.47
180,Sumenep,ID,-7.02,113.87,1559612049,100,63,85.01,2.64
181,Ugoofaaru,MV,5.67,73.0,1559612050,100,74,84.83,10.63
182,Longyearbyen,NO,78.22,15.63,1559612050,75,74,35.6,8.05
183,Zhizdra,RU,53.75,34.74,1559612050,0,79,52.97,7.36
184,Faanui,PF,-16.48,-151.75,1559611669,13,70,81.8,9.71
185,Bria,CF,6.54,21.99,1559612050,100,92,69.35,4.23
186,Nagykanizsa,HU,46.45,16.99,1559612050,49,100,59.0,3.36
187,Atchison,US,39.56,-95.12,1559612050,75,61,78.8,9.17
188,Lavrentiya,RU,65.58,-170.99,1559612051,93,53,56.03,11.92
189,Rapid Valley,US,44.06,-103.15,1559612051,1,64,79.0,10.29
190,Pochutla,MX,15.74,-96.47,1559612051,75,83,80.6,3.36
191,Cherskiy,RU,68.75,161.3,1559611680,100,60,40.76,21.16
192,Prainha,BR,-1.8,-53.48,1559612051,100,98,74.21,2.19
193,Vuktyl,RU,63.86,57.31,1559612051,100,72,45.59,15.35
194,Nouakchott,MR,18.08,-15.98,1559612052,100,88,69.8,9.17
195,Hithadhoo,MV,-0.6,73.08,1559612052,100,78,83.03,18.45
196,Pouso Alegre,BR,-22.23,-45.93,1559612020,8,94,57.99,4.14
197,Alvaraes,BR,-3.22,-64.8,1559611996,82,96,74.93,1.99
198,Changzhou,CN,31.81,119.97,1559612052,0,55,93.0,5.23
199,Resistencia,AR,-27.45,-58.99,1559612052,0,100,59.0,1.12
200,Tobane,BW,-21.91,28.04,1559612052,0,79,52.97,1.7
201,Namibe,AO,-15.19,12.15,1559612053,0,72,70.43,7.74
202,Camacha,PT,33.08,-16.33,1559612053,75,88,69.8,9.17
203,Salinas,US,36.67,-121.66,1559612053,1,60,80.01,14.99
204,South Lake Tahoe,US,38.93,-119.98,1559612053,40,26,84.2,3.36
205,Katherine,AU,-14.47,132.26,1559612053,99,21,71.6,19.46
206,Lagos,NG,6.46,3.39,1559612054,20,88,80.6,4.88
207,Kaduna,NG,10.52,7.44,1559612054,68,79,74.21,3.56
208,Tasiilaq,GL,65.61,-37.64,1559611679,0,69,32.0,3.02
209,Cape Town,ZA,-33.93,18.42,1559611696,90,93,61.0,8.05
210,Husavik,CA,50.56,-96.99,1559612054,99,49,66.99,3.0
211,Saint George,GR,39.45,22.34,1559612054,40,93,57.2,3.69
212,Celestun,MX,20.87,-90.4,1559612054,100,83,82.67,14.14
213,Mackenzie,CA,55.34,-123.09,1559612055,40,72,62.6,18.34
214,Trairi,BR,-3.28,-39.27,1559612055,100,97,72.77,3.02
215,Nelson Bay,AU,-32.72,152.14,1559611532,90,93,50.0,28.86
216,Esperance,TT,10.24,-61.45,1559611672,20,88,82.0,5.82
217,San Jose,PH,15.79,120.99,1559612056,33,38,97.25,8.75
218,Vila Franca do Campo,PT,37.72,-25.43,1559611634,40,82,64.4,14.99
219,Upington,ZA,-28.46,21.24,1559612056,0,39,50.0,1.12
220,Khatanga,RU,71.98,102.47,1559611773,0,76,47.78,3.85
221,Garissa,KE,-0.46,39.64,1559612056,31,67,76.91,14.43
222,Sainte-Suzanne,CH,47.51,6.77,1559612056,0,100,64.0,4.72
223,Mae Chan,TH,20.15,99.85,1559612057,40,83,80.6,4.7
224,Bubaque,GW,11.28,-15.83,1559612057,70,78,79.07,14.03
225,Sambava,MG,-14.27,50.17,1559612057,1,92,65.57,3.94
226,Lahuachaca,BO,-17.38,-67.67,1559612057,0,52,40.37,8.21
227,Ecclefechan,GB,55.06,-3.26,1559612057,25,87,50.0,9.17
228,Westport,IE,53.8,-9.52,1559612058,82,88,52.0,0.27
229,Moerai,PF,-22.43,-151.33,1559612058,49,73,76.55,3.85
230,Araioses,BR,-2.89,-41.91,1559612058,100,96,74.21,2.19
231,Vila Velha,BR,-3.71,-38.6,1559612058,20,78,82.4,9.17
232,Buy,RU,58.48,41.53,1559612058,7,69,50.09,2.26
233,Castro,CL,-42.48,-73.76,1559612059,90,100,53.6,16.11
234,Broken Hill,AU,-31.97,141.45,1559611640,0,75,42.8,19.46
235,Bundaberg,AU,-24.87,152.35,1559611702,0,41,62.01,17.22
236,Pinotepa de Don Luis,MX,16.43,-97.98,1559612059,100,92,74.57,1.39
237,Ostrovnoy,RU,68.05,39.51,1559611701,6,76,36.62,5.3
238,Meulaboh,ID,4.14,96.13,1559612059,100,82,81.77,1.63
239,Tall Kayf,TR,37.08,41.07,1559612059,0,52,77.0,7.0
240,Santiago del Estero,AR,-27.8,-64.26,1559611904,0,74,56.93,7.36
241,Sakata,JP,38.92,139.93,1559612059,20,47,78.8,8.05
242,Katsuura,JP,33.93,134.5,1559612060,75,78,77.0,9.17
243,Bambous Virieux,MU,-20.34,57.76,1559611690,40,64,73.4,18.34
244,Pokhara,NP,28.21,83.99,1559612060,5,57,63.77,6.82
245,Abu Zabad,SD,12.35,29.25,1559612060,58,61,83.57,19.57
246,Sai Buri,TH,6.7,101.62,1559612060,20,88,78.8,8.05
247,Emerald,AU,-23.53,148.16,1559612060,0,28,60.01,8.05
248,Port Shepstone,ZA,-30.74,30.45,1559612060,0,32,59.45,7.56
249,Kabalo,CD,-6.05,26.92,1559612061,0,48,66.11,4.43
250,Nanortalik,GL,60.14,-45.24,1559612061,0,88,35.69,2.21
251,Pangobilian,PH,8.8,117.86,1559612061,100,59,87.17,0.87
252,Biltine,TD,14.53,20.93,1559612061,32,24,92.93,5.66
253,Chapais,CA,49.78,-74.86,1559612062,90,93,44.6,6.93
254,Cockburn Town,TC,21.46,-71.14,1559612062,1,80,81.23,12.68
255,Tupik,RU,54.43,119.94,1559612062,100,42,67.37,8.95
256,Carnarvon,ZA,-30.97,22.13,1559612062,0,38,53.15,5.91
257,Ahipara,NZ,-35.17,173.16,1559612062,94,100,60.01,15.93
258,Superior,US,39.95,-105.17,1559612062,1,52,71.01,8.66
259,Birpur,NP,26.52,87.01,1559612063,4,45,90.23,10.51
260,Mafeteng,LS,-29.82,27.24,1559612063,0,46,44.15,3.06
261,Aasiaat,GL,68.71,-52.87,1559612063,87,81,30.11,4.21
262,Port Macquarie,AU,-31.43,152.91,1559612063,45,44,64.0,17.22
263,Cedar City,US,37.68,-113.06,1559611809,1,27,73.99,10.29
264,Nassau,DE,51.17,13.51,1559612063,0,72,62.6,3.36
265,Soyo,AO,-6.13,12.37,1559612064,0,85,75.29,5.61
266,Sitka,US,37.17,-99.65,1559612064,0,74,77.0,1.99
267,Udachnyy,RU,66.42,112.4,1559612064,75,66,55.4,4.47
268,Port Hardy,CA,50.7,-127.42,1559612064,75,81,53.6,3.36
269,Nuuk,GL,64.17,-51.74,1559612064,0,80,35.6,5.82
270,Vanimo,PG,-2.67,141.3,1559612064,100,68,85.19,8.25
271,Nome,US,30.04,-94.42,1559612065,1,70,84.99,4.7
272,Lulea,SE,65.58,22.15,1559612065,100,100,46.4,2.68
273,Baisha,CN,19.23,109.45,1559612065,100,53,91.85,5.12
274,Half Moon Bay,US,37.46,-122.43,1559612065,90,87,77.0,4.7
275,Port Moresby,PG,-9.47,147.16,1559612065,40,79,84.2,19.46
276,Mnogovershinnyy,RU,53.94,139.92,1559612066,91,69,50.45,7.63
277,Yepifan,RU,53.83,38.55,1559612066,0,76,50.63,6.58
278,Olinda,EC,-2.03,-79.75,1559611611,75,83,78.8,13.87
279,Potenza,IT,40.64,15.8,1559612066,0,91,53.51,6.85
280,Aklavik,CA,68.22,-135.01,1559611695,90,66,50.0,8.05
281,Miles City,US,46.41,-105.84,1559612066,1,34,82.4,9.17
282,Elizabeth City,US,36.3,-76.22,1559612066,1,60,72.0,4.7
283,Richards Bay,ZA,-28.77,32.06,1559612066,0,73,68.45,12.03
284,Karasjok,NO,69.47,25.52,1559612067,0,68,44.6,23.04
285,Kahului,US,20.89,-156.47,1559612067,75,61,82.0,17.22
286,Jimeta,NG,9.28,12.44,1559612067,93,56,85.01,11.27
287,Beloha,MG,-25.17,45.06,1559612067,98,86,64.13,7.45
288,Sattahip,TH,12.67,100.9,1559612067,20,66,96.01,6.93
289,Bilma,NE,18.69,12.92,1559612067,10,20,89.87,10.96
290,Port Blair,IN,11.67,92.75,1559611557,98,77,85.22,9.71
291,Alofi,NU,-19.06,-169.92,1559612068,75,78,77.0,9.17
292,Anahuac,US,29.77,-94.68,1559612068,1,70,87.01,4.7
293,Nemuro,JP,43.32,145.57,1559611575,75,56,71.6,4.7
294,Pimentel,BR,-3.7,-45.5,1559612068,22,99,72.05,2.95
295,Amuntai,ID,-2.42,115.25,1559612068,100,80,85.19,1.14
296,Padang,ID,-0.92,100.36,1559611483,100,73,82.88,3.53
297,Mouila,GA,-1.86,11.06,1559612068,100,96,70.07,1.21
298,Kudahuvadhoo,MV,2.67,72.89,1559612069,100,76,84.83,24.34
299,Saskylakh,RU,71.97,114.09,1559611643,56,75,40.22,12.08
300,Khandyga,RU,62.65,135.58,1559612069,0,29,73.85,7.05
301,Ayr,GB,55.46,-4.63,1559611827,20,87,51.01,6.93
302,Axim,GH,4.87,-2.24,1559612069,91,85,78.17,8.61
303,Saint Anthony,US,43.97,-111.68,1559612069,1,40,71.6,10.29
304,Nimaparha,IN,20.07,86.02,1559612069,100,88,82.4,3.36
305,Ust-Kut,RU,56.78,105.75,1559612070,100,38,54.77,5.28
306,Ewa Beach,US,21.32,-158.01,1559612070,75,69,86.0,8.05
307,Klaksvik,FO,62.23,-6.59,1559612070,97,93,41.0,25.28
308,Porto Velho,BR,-8.75,-63.87,1559612070,20,78,80.6,5.82
309,Mbeya,TZ,-8.91,33.47,1559612070,0,94,49.55,6.08
310,Pangai,TO,-19.8,-174.35,1559612070,40,69,77.0,5.82
311,Valparaiso,US,41.47,-87.06,1559611793,1,51,66.99,3.36
312,Taitung,TW,22.76,121.15,1559612071,75,88,82.4,2.24
313,Dondaicha,IN,21.33,74.56,1559612071,0,59,88.43,19.33
314,Chuy,UY,-33.69,-53.46,1559612071,0,68,58.55,8.43
315,Brebes,ID,-6.87,109.04,1559612071,100,47,90.23,0.67
316,Koslan,RU,63.46,48.9,1559612071,0,57,43.43,8.5
317,Hit,IQ,33.64,42.83,1559612071,0,22,88.79,15.41
318,Pec,DE,49.4,12.83,1559612072,0,82,62.01,1.12
319,Vaitape,PF,-16.52,-151.75,1559612072,0,69,81.95,9.4
320,Mongo,CF,4.83,22.92,1559612072,100,91,69.71,1.3
321,Kochubey,RU,44.39,46.54,1559612072,64,45,80.51,6.53
322,Carmelo,UY,-34.0,-58.28,1559612072,0,93,59.0,4.7
323,Mogadishu,SO,2.04,45.34,1559612073,94,82,77.09,10.45
324,Ngunguru,NZ,-35.62,174.5,1559612073,75,68,59.0,5.01
325,Hastings,NZ,-39.64,176.84,1559612073,100,68,57.29,6.04
326,Santa Rosa,AR,-36.62,-64.29,1559612075,95,75,53.51,12.53
327,Pitimbu,BR,-7.47,-34.81,1559612075,20,83,77.0,4.7
328,Bermejo,AR,-22.73,-64.34,1559612075,0,97,50.63,2.51
329,Lanzhou,CN,36.06,103.82,1559612075,40,34,64.4,8.95
330,Haapiti,PF,-17.57,-149.87,1559612075,20,62,84.2,3.36
331,Princeton,US,41.37,-89.46,1559611853,1,72,73.99,5.93
332,San Carlos,VE,9.66,-68.59,1559612076,100,92,75.83,2.95
333,Fortuna,ES,38.18,-1.13,1559612076,0,88,66.99,2.91
334,Pasni,PK,25.26,63.48,1559612076,0,54,90.41,8.52
335,Vestmannaeyjar,IS,63.44,-20.27,1559612077,0,55,43.43,22.5
336,Shelburne,CA,44.08,-80.2,1559612077,1,50,55.4,8.05
337,Hayden,US,47.77,-116.79,1559612077,1,27,79.0,17.22
338,Durham,GB,54.78,-1.58,1559611999,0,81,53.01,3.36
339,Nisia Floresta,BR,-6.09,-35.21,1559612077,0,83,77.0,8.05
340,Rabo de Peixe,PT,37.8,-25.58,1559612077,40,82,64.4,14.99
341,Karratha,AU,-20.74,116.85,1559611948,0,17,75.29,27.31
342,Ust-Nera,RU,64.57,143.24,1559612078,79,30,58.01,9.4
343,Tabas,IR,33.6,56.92,1559612078,0,20,78.71,3.09
344,Hoquiam,US,46.98,-123.89,1559612078,1,58,59.0,11.41
345,Steamboat Springs,US,40.48,-106.83,1559611819,40,58,60.8,9.17
346,Dennis,US,41.74,-70.19,1559612078,1,39,62.6,9.17
347,Apollonia,GR,40.64,23.49,1559612079,40,72,64.4,2.24
348,Gizo,IL,31.8,34.94,1559612079,0,78,77.0,4.7
349,Paidha,UG,2.42,30.99,1559612079,99,96,61.25,5.14
350,Meadow Lake,CA,54.13,-108.44,1559612079,75,59,66.2,10.29
351,Waynesboro,US,35.32,-87.76,1559612079,20,73,73.99,5.99
352,Flinders,AU,-34.58,150.85,1559611633,75,71,55.0,26.4
353,Bhan,PK,26.56,67.72,1559612079,0,31,100.85,7.31
354,Ketchikan,US,55.34,-131.65,1559611880,90,81,53.6,9.17
355,Pavlivka,UA,48.13,39.54,1559612080,100,87,66.65,8.95
356,Christchurch,NZ,-43.53,172.64,1559611964,94,93,46.99,11.41
357,Ellsworth,US,38.73,-98.23,1559612080,40,69,82.0,12.75
358,Arlit,NE,18.74,7.39,1559612080,18,26,94.19,6.55
359,Pacific Grove,US,36.62,-121.92,1559612047,1,72,75.0,8.05
360,Severo-Kurilsk,RU,50.68,156.12,1559612081,100,94,45.05,15.05
361,Shanghai,CN,31.23,121.49,1559612018,20,69,84.99,4.47
362,Saldanha,PT,41.42,-6.55,1559611650,51,82,57.5,4.14
363,Ubinskoye,RU,55.31,79.68,1559612081,84,86,55.13,9.06
364,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,1559612081,0,91,54.05,4.41
365,Daru,SL,7.99,-10.85,1559612081,100,97,73.49,2.91
366,Shu,KZ,43.6,73.76,1559612081,100,54,69.71,6.13
367,Vao,EE,59.1,26.19,1559612082,48,71,59.63,12.03
368,Huaicheng,CN,23.91,112.19,1559612082,0,55,90.41,3.89
369,Pangnirtung,CA,66.15,-65.72,1559612082,20,53,43.43,0.31
370,Helong,CN,25.94,116.13,1559612082,0,59,87.35,3.33
371,Florence,US,34.8,-87.68,1559611810,1,47,79.0,5.82
372,Balabac,PH,7.99,117.06,1559612083,100,68,85.73,7.16
373,Orito,CO,0.67,-76.88,1559612083,46,65,71.51,2.89
374,Sola,FI,62.78,29.36,1559612083,90,81,50.0,9.17
